CustomerID,Age,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Contract,Paperless_Billing,Payment_Method,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Monthly_Charges,Total_Charges,Churn
CUST_00001,45,Female,0,No,Yes,52,One year,Yes,Electronic check,Yes,No,DSL,No,No,Yes,No internet service,No internet service,No,78.16,3989.76,Yes
CUST_00002,38,Male,0,No,No,19,One year,Yes,Credit card,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,110.06,2098.31,Yes
CUST_00003,47,Female,1,Yes,No,35,One year,No,Electronic check,No,Yes,No,No,No,Yes,No,Yes,Yes,60.75,2083.04,No
CUST_00004,58,Female,0,No,Yes,48,Two year,Yes,Credit card,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No internet service,90.8,4325.62,Yes
CUST_00005,37,Female,0,Yes,No,60,Two year,No,Bank transfer,Yes,No,No,Yes,Yes,No internet service,No internet service,Yes,Yes,70.33,4247.93,No
CUST_00006,37,Male,1,Yes,No,31,Two year,No,Bank transfer,Yes,No,DSL,No,No,No internet service,Yes,No,No,73.01,2243.57,No
CUST_00007,58,Female,0,Yes,No,3,Month-to-month,Yes,Electronic check,Yes,No,DSL,No,Yes,Yes,No,Yes,No internet service,93.96,236.0,Yes
CUST_00008,49,Female,1,Yes,No,35,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,109.4,3883.51,Yes
CUST_00009,34,Female,0,Yes,No,52,One year,Yes,Credit card,Yes,No,Fiber optic,Yes,No,No,No,No,No,92.06,4906.14,Yes
CUST_00010,46,Male,0,Yes,No,71,Month-to-month,Yes,Electronic check,Yes,No,No,No internet service,No,Yes,No,Yes,No,54.13,3870.2,Yes
CUST_00011,34,Male,1,No,No,51,Month-to-month,No,Credit card,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,No,107.3,5484.77,Yes
CUST_00012,34,Female,0,Yes,No,56,One year,Yes,Bank transfer,Yes,No phone service,DSL,No,Yes,No,No,No,Yes,81.53,4641.98,No
CUST_00013,42,Male,0,No,No,21,Two year,Yes,Bank transfer,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,No internet service,73.18,1471.64,Yes
CUST_00014,18,Female,0,Yes,No,1,Month-to-month,Yes,Bank transfer,Yes,No,No,Yes,Yes,No internet service,No,No,No,46.42,102.95,No
CUST_00015,19,Male,1,Yes,No,53,One year,Yes,Electronic check,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,Yes,120.0,6409.65,Yes
CUST_00016,33,Male,0,No,Yes,6,One year,No,Mailed check,Yes,No,DSL,No internet service,No internet service,No,No,No,Yes,74.4,384.8,Yes
CUST_00017,27,Female,0,No,Yes,62,Month-to-month,Yes,Bank transfer,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,75.06,4665.04,Yes
CUST_00018,43,Female,0,Yes,No,47,One year,Yes,Credit card,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No internet service,96.23,4503.34,No
CUST_00019,29,Female,0,Yes,No,50,Month-to-month,Yes,Bank transfer,No,No,Fiber optic,Yes,No internet service,No,No,Yes,No,86.05,4261.01,No
CUST_00020,23,Male,0,No,No,31,Month-to-month,No,Electronic check,Yes,No,DSL,No,No,No,No,Yes,No internet service,68.62,2006.53,No
CUST_00021,57,Female,0,Yes,Yes,64,Two year,Yes,Credit card,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,99.68,6413.59,Yes
CUST_00022,37,Male,0,No,No,29,One year,Yes,Bank transfer,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No,103.48,2951.36,No
CUST_00023,40,Male,0,No,No,15,Month-to-month,Yes,Mailed check,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No internet service,107.64,1610.53,Yes
CUST_00024,22,Female,0,Yes,No,58,Month-to-month,Yes,Credit card,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,No,93.07,5417.44,No
CUST_00025,33,Male,0,Yes,Yes,23,Two year,No,Bank transfer,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,120.0,2780.45,Yes
CUST_00026,41,Female,0,Yes,No,38,Month-to-month,Yes,Bank transfer,No,No phone service,DSL,No,No internet service,Yes,Yes,No,No,60.62,2340.03,No
CUST_00027,26,Male,1,Yes,Yes,41,Month-to-month,No,Bank transfer,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,106.86,4364.49,No
CUST_00028,44,Female,0,No,Yes,15,Month-to-month,Yes,Electronic check,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,Yes,85.06,1330.04,No
CUST_00029,32,Male,0,No,No,3,One year,Yes,Bank transfer,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,107.38,256.03,Yes
CUST_00030,36,Male,0,No,Yes,1,Two year,No,Electronic check,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,111.57,190.14,Yes
CUST_00031,32,Female,0,No,Yes,11,Two year,Yes,Bank transfer,Yes,No,No,No,No,No,No,No internet service,No internet service,45.77,548.88,No
CUST_00032,62,Male,0,Yes,No,60,Month-to-month,No,Electronic check,Yes,No,DSL,No,No,No,No,No,No internet service,70.31,4132.46,No
CUST_00033,39,Female,0,No,Yes,65,Month-to-month,Yes,Electronic check,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No internet service,90.07,5890.27,No
CUST_00034,27,Male,0,Yes,No,4,One year,No,Credit card,No,No,No,Yes,Yes,No,No internet service,No internet service,Yes,52.57,166.36,No
CUST_00035,49,Male,1,No,Yes,25,Two year,Yes,Mailed check,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,100.97,2463.6,Yes
CUST_00036,25,Male,0,Yes,No,72,Month-to-month,Yes,Bank transfer,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,101.06,7363.03,Yes
CUST_00037,42,Female,0,No,No,43,Month-to-month,Yes,Mailed check,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,No,96.7,4113.42,Yes
CUST_00038,18,Female,0,No,Yes,40,Month-to-month,Yes,Mailed check,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,95.97,3770.39,Yes
